ra,dec,pmdec,pseudocolour,non_single_star
250.839099586284,-1.8828789869282927,-2.484345481266809,1.1821461,0
250.98472884091464,-1.779207402267312,-18.593193260616893,,0
250.91518887113435,-1.709976951185292,-30.91661730746641,,0
250.98800131014423,-1.7232263051067054,-10.630187287022897,1.1325948,0
250.9861119906353,-1.6729196599803837,-2.102820184231442,1.1799365,0
251.00920184027098,-1.5865704649596182,48.19653671176698,,0
251.06333872426623,-1.529775501686097,-18.899772618068635,,0
250.94390658673967,-1.5315417225684493,-26.762854173430547,,0
250.97384512848376,-1.5066252640257554,-1.3106755449916063,1.184132,0
250.97422688039106,-1.5074333973503269,-0.9805204194296724,,0
251.05468707837156,-1.4083259145269673,-126.47184585658015,,0
251.3079956187576,-1.428743410140312,10.482076515908375,,3
251.31762015839124,-1.4177592725329173,10.03846864646001,,0
251.2620715592974,-1.3793913151394899,-17.581893370144634,,0
251.2545823736285,-1.3389234753237977,-59.9794995820002,,0
251.36753354622493,-1.2090159856012188,-217.3200054817885,,0
251.58864068986125,-1.198785524875075,-2.7220039596163663,,0
251.55645104780925,-1.0986244039701967,-12.118136119668423,,0
251.2495597701432,-1.1817464742499855,22.64396997175591,1.5372175,0
251.3361868231529,-1.0969290560530123,3.9049572839345545,,0
251.49371845234631,-1.0137339314685767,1.4892465571111824,,0
251.67321240195741,-1.1280609209911319,3.6110115079327665,1.4464191,0
251.78441280975727,-1.0212890343182628,-33.20815025918283,1.1373872,0
251.78407573165754,-0.9970655993335685,13.987561795771478,,0
251.7394098230355,-1.0184565878091627,-12.631290317314024,,0
251.7657587371603,-0.9822014176217715,-22.60158367018491,,0
251.58819220830492,-0.998299703852902,-27.313239642258093,,0
252.12486964978888,-1.8599967534389297,0.6870876684733074,,0
252.03627134916752,-1.8668417404885795,-0.6106482236080403,,0
252.0113521401222,-1.8655791864151134,-50.080063080367566,,2
252.25995358238657,-1.916154833129846,0.932913526661075,1.1245937,0
252.18757753244384,-1.890321928782746,-3.1633328149498423,1.2230185,0
252.25687972972412,-1.831271898823926,-48.575383100083855,,0
252.4010828097778,-1.780634452905241,-30.083560954970295,,0
252.32584828011488,-1.7401797382402284,-15.955604105421113,0.8849224,0
252.22681249928445,-1.7730859351968054,15.86064586389873,1.1504394,0
252.25747593139687,-1.7542590069209831,-25.171069471651585,,0
252.25445740155337,-1.7467630427003429,-25.06014563603539,,0
251.92163322386787,-1.8647709821084797,3.5493351360582404,1.1297979,0
251.87917486496679,-1.8780123140994371,-34.697120954495205,,0
251.77730398413092,-1.8051803088220366,36.413127261928814,,0
251.88327751896333,-1.7514828521402905,-7.875575142930817,1.2151248,0
251.91449068596046,-1.7359623365918981,-92.31720877670828,,0
252.11416491530943,-1.6817526716694233,-35.48138729086077,,0
252.0219731528755,-1.6835796715612221,-2.8971422286546344,2.2606704,0
251.96595848171685,-1.5873514275420355,-0.1584460869076001,1.5518855,0
252.08038484522567,-1.5083616414313077,-12.800010258860318,1.1565449,0
251.4279999056896,-2.002595893219126,-1.9738596206077226,,0
251.4384894763574,-1.961067479060702,-10.193720996513584,1.0718752,0
251.27383159912554,-2.0033848219086456,-7.153967679143414,1.3094462,0
251.31679447812255,-1.9331917364907463,-1.2791545139910618,,0
251.52976558144394,-1.918679412614025,18.146141396202925,1.5184371,0
251.4268769463408,-1.833390852071592,-54.52639766173416,,0
251.41711301233144,-1.7568469209480722,-11.831337352946584,,0
251.14362981617703,-1.8612637020527731,-17.884830490900256,1.1595953,0
251.2355065849421,-1.6913008176907791,-28.34523631736321,,0
251.2347176502987,-1.6841008831601751,-29.5359669368321,,0
251.38339063586972,-1.7605814912719342,28.331362367590298,,0
251.36216348940826,-1.6941624360792245,-14.14805407967703,1.1476381,0
251.25073618376462,-1.6637616902348482,17.31552990997216,,0
251.72962082013333,-1.7690566211064538,26.994995348597918,,0
251.65348994315568,-1.7328056443515234,-0.17118540769797064,,0
251.6534061477315,-1.7336742029399614,-0.9807065491101224,1.2951916,0
251.7652508190076,-1.6438781274299947,21.622716110335737,1.2118901,0
251.78290084545762,-1.597308183995222,17.135360351933702,,0
251.70924460969835,-1.5440131763041378,-2.250129252154755,2.6421483,0
251.71564064843727,-1.541082476196593,-21.125997881714266,,0
251.889085900567,-1.6287803598681718,6.006677083995885,1.2097586,0
251.93750479169273,-1.5793761940854516,-11.044571085763089,,0
251.86867964580296,-1.571485869489677,-8.730813295559297,1.4068162,0
251.88281569105212,-1.4992360891023728,-40.93090114616894,1.1890022,0
251.50255694651267,-1.5823802742753834,-118.32974279194121,,0
251.64829575465396,-1.4399168293222309,-13.898521407613229,0.5773582,0
251.46809361546042,-1.5377124502736483,-41.77422336759941,,0
251.46207192024232,-1.5348217723914843,-42.56417416012478,1.1991218,0
251.4616681958562,-1.5344658972210587,-42.53116478247681,,0
251.6090230819479,-1.4318423348458371,-94.52915809876644,1.1309401,0
251.6086410908733,-1.432378684085892,-95.15767441924103,,0
251.69669483330784,-1.327543645931376,-48.97740045392473,,0
251.6025066328068,-1.360933671440618,-76.28053518051992,,0
251.6098466086615,-1.3097072053336825,-5.781089546930045,1.1911298,0
251.7248022934486,-1.2496235730586591,-6.718506758040866,1.0031037,0
252.78296054009326,-1.9755434284329152,-16.43206883308927,,0
252.691127655917,-1.9891113948864965,-45.90747058144443,,0
252.66786361679868,-1.9461314620187837,18.776465219972703,,0
252.73750932922104,-1.8493561886428433,0.2037782469364779,,0
252.56338988930722,-1.8559557807976959,-12.726045574656567,,0
252.52159454168984,-1.8395214188560658,-45.97747848349637,1.1887488,0
252.62365796457547,-1.7255573591094688,-15.36734925502077,0.96585613,0
252.6148486389221,-1.7047198312211398,2.703722855210991,1.2362111,0
