# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug 12 01:05:30 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_telescope: Discovery Telescope
# COLUMN rv_flag:        Detected by Radial Velocity Variations
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_telescope,rv_flag,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,ttv_flag,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,2,1,Radial Velocity,2007,2.16 m Telescope,1,0,323.21000000,0.06000000,-0.05000000,0,12.200,,,0,1.090,,,0,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0,0,2.09,0.64,-0.63,0,93.1846000,1.9238000,-1.9238000
11 UMi b,1,1,Radial Velocity,2009,2.0 m Alfred Jensch Telescope,1,0,516.21997000,3.20000000,-3.20000000,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0,0,2.78,0.69,-0.69,0,125.3210000,1.9765000,-1.9765000
14 And b,1,1,Radial Velocity,2008,1.88 m Telescope,1,0,186.76000000,0.11000000,-0.12000000,0,13.100,,,0,1.160,,,0,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0,0,1.78,0.43,-0.29,0,75.4392000,0.7140000,-0.7140000
14 Her b,1,2,Radial Velocity,2002,10 m Keck I Telescope,1,0,1765.03890000,1.67709000,-1.87256000,0,12.600,,,0,1.120,,,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0,0,0.91,0.11,-0.11,0,17.9323000,0.0073000,-0.0073000
16 Cyg B b,3,1,Radial Velocity,1996,Multiple Telescopes,1,0,798.50000000,1.00000000,-1.00000000,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0,0,1.08,0.04,-0.04,0,21.1397000,0.0110000,-0.0111000
17 Sco b,1,1,Radial Velocity,2020,Coude Auxiliary Telescope,1,0,578.38000000,2.01000000,-2.09000000,0,12.900,,,0,1.150,,,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0,0,1.22,0.13,-0.14,0,124.9530000,2.5900000,-2.5900000
18 Del b,2,1,Radial Velocity,2008,1.88 m Telescope,1,0,982.85000000,1.06000000,-0.92000000,0,12.500,,,0,1.120,,,0,2926.24614,50.85255,-24.47279,0,9.20700,0.16000,-0.07700,0,0,2.10,0.13,-0.09,0,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1,1,Imaging,2008,8.19 m Gemini North Telescope,0,0,,,,,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,0,0.85,0.20,-0.10,0,139.1350000,1.3320000,-1.3070000
24 Boo b,1,1,Radial Velocity,2018,1.88 m Telescope,1,0,30.33000000,0.00000000,-0.01000000,0,13.900,,,0,1.240,,,0,280.64248,11.44182,-13.66662,0,0.88300,0.03600,-0.04300,0,0,1.05,0.27,-0.18,0,95.9863000,0.6368500,-0.6368500
24 Sex b,1,2,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,1,0,452.80000000,2.10000000,-4.50000000,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000
